date,open,high,low,close,adjclose,volume
12/2/2019,66.81749725,67.0625,65.86250305,66.04000092,64.69789124,94487200
12/3/2019,64.57749939,64.88249969,64.07250214,64.86250305,63.5443306,114430400
12/4/2019,65.26750183,65.82749939,65.16999817,65.43499756,64.10520172,67181600
12/5/2019,65.94750214,66.47250366,65.68250275,66.39499664,65.04567719,74424400
12/6/2019,66.87000275,67.75,66.82499695,67.67749786,66.30212402,106075600
12/9/2019,67.5,67.69999695,66.22750092,66.73000336,65.37387848,128042400
12/10/2019,67.15000153,67.51750183,66.46499634,67.12000275,65.75595093,90420400
12/11/2019,67.20249939,67.77500153,67.125,67.69249725,66.31681061,78756800
12/12/2019,66.94499969,68.13999939,66.83000183,67.86499786,66.48582458,137310400
12/13/2019,67.86499786,68.82499695,67.73249817,68.78749847,67.38957214,133587600
12/16/2019,69.25,70.19750214,69.24500275,69.96499634,68.5431366,128186000
12/17/2019,69.89250183,70.44249725,69.69999695,70.10250092,68.67784882,114158400
12/18/2019,69.94999695,70.47499847,69.77999878,69.93499756,68.51374054,116028400
12/19/2019,69.875,70.29499817,69.73750305,70.00499725,68.5823288,98369200
12/20/2019,70.55750275,70.66249847,69.63999939,69.86000061,68.4402771,275978000
12/23/2019,70.13249969,71.0625,70.09249878,71,69.55710602,98572000
12/24/2019,71.17250061,71.22250366,70.73000336,71.06749725,69.62321472,48478800
12/26/2019,71.20500183,72.49500275,71.17500305,72.47750092,71.00457764,93121200
12/27/2019,72.77999878,73.49250031,72.02999878,72.44999695,70.97763062,146266000
12/30/2019,72.36499786,73.17250061,71.30500031,72.87999725,71.39890289,144114400
12/31/2019,72.48249817,73.41999817,72.37999725,73.41249847,71.92057037,100805600
1/2/2020,74.05999756,75.15000153,73.79750061,75.08750153,73.5615387,135480400
1/3/2020,74.28749847,75.14499664,74.125,74.35749817,72.84637451,146322800
1/6/2020,73.44750214,74.98999786,73.1875,74.94999695,73.42682648,118387200
1/7/2020,74.95999908,75.22499847,74.37000275,74.59750366,73.08148956,108872000
